time,vehicle_id,x,y,speed,angle,lane,pos,anomaly,depart,edges,edge_id,lane_id,length,lane_speed,shape,acceleration,jerk,stopped,stopped_time,leader_distance,gap_time
696.0,11,260.912821636567,366.3900953262355,0.44644058290560573,274.88651904234746,S01_1,39.02485169417602,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.2921173766170713,0.3716559643353053,0,0.0,0.1844199742908968,0.0011835165637055765
697.0,11,248.51756833047523,367.19259401355765,0.4328510218127109,273.68163256477635,S01_1,51.4461598978935,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.2491075856089027,0.3233211775847446,0,0.0,0.18784887949563317,0.001260541876360705
698.0,11,236.03218666925844,367.9959683066715,0.4359874509065967,273.68163256477567,S01_1,63.9574154008977,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.27817862419919537,0.38664284169346413,0,0.0,0.18447717262368357,0.0012257630198649057
699.0,11,223.64730280681812,368.8809453593208,0.432685717710955,274.15487784928234,S01_1,76.37398297217335,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.26698861019826964,0.3512742580763432,0,0.0,0.17675383453500826,0.0011894218740562575
700.0,11,211.42682621701024,369.7686857276839,0.426972807960181,274.15487784928297,S01_1,88.62671428642899,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.2627978026048478,0.357422930332649,0,0.0,0.17961961727847514,0.0012316695984178564
701.0,11,198.69771685034337,370.6933750517911,0.44475545693408935,274.15487784928234,S01_1,101.38942086283387,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.3036348643726809,0.3969790735555836,0,0.0,0.18116205663188933,0.0011696186447313398
702.0,11,186.91218814689435,371.44335548101446,0.4115488512549758,272.9413513585339,S01_1,113.19982008271728,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.21501167536233418,0.28325065837400415,0,0.0,0.17175384001168703,0.0012454067169459975
703.0,11,174.23979593223706,371.8241162593236,0.4418789556737164,270.48606070015376,S01_1,125.88003363536151,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.3254432928945981,0.4581165924834306,0,0.0,0.18065465077217735,0.0011776828950379528
675.0,12,476.5863529041753,445.20948340428896,0.48163087370430296,230.7616636446753,315255814_1,2.0040749718667943,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.41689482854933224,0.3945611334941528,0,0.0,0.38340098479853557,0.002213047752325875
676.0,12,465.5021721081619,434.3814496434775,0.5400092724295479,225.6697394996591,315255814_1,17.498494331855603,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.37419335415080535,0.3235920279745588,0,0.0,0.34484304942910227,0.0017129479356500408
677.0,12,454.3197132576624,424.2221145893633,0.5265801699858509,228.1487417997934,315255814_1,32.6077905277308,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.24938647490220522,0.2514639615193172,0,0.0,0.3047217724013173,0.0015575765018223013
678.0,12,442.9893142571519,414.87041430862536,0.5122731612951358,232.1300282260334,315255814_1,47.30678674420899,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.24786060730927212,0.3597640304076742,0,0.0,0.2721020821825988,0.0014384486714396432
684.0,12,364.1945893825635,368.1318492517187,0.5286439834904371,256.6327772116772,ET03_2,39.92695414524818,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_2,51.78,13.89,"401.58,382.91 390.40,377.42 382.07,373.76 371.63,369.98 366.33,368.55 361.07,367.52 353.94,366.30 352.40,366.10",0.20868406967034164,0.2892042465073408,0,0.0,0.15333454341416147,0.0007471661946215122
685.0,12,348.6223412526392,365.6993392237648,0.544741829582104,263.61573531921226,:millieu_7_1,3.777094964849241,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,:millieu_7,:millieu_7_1,52.4,13.89,"352.40,366.10 337.22,364.49 322.42,363.55 309.46,363.20 299.82,363.40",0.3007065492738602,0.44194450824204745,0,0.0,0.48541746200525543,0.0024160126506849104
689.0,12,284.4732297416239,364.37583993311455,0.5614017714005911,274.0400160032774,S01_1,15.378395872669875,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.26878602829140913,0.36568428426852495,0,0.0,0.40361785936846756,0.0019194724470264013
690.0,12,269.12213104144337,365.6882549477141,0.5369667186173721,274.88651904234746,S01_1,30.7855601122183,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.2302572990824102,0.3272577067795126,0,0.0,0.37900205990487285,0.0019040336030669
691.0,12,253.9457854155925,366.8433143373768,0.5304799002989181,273.68163256477567,S01_1,46.00669375096468,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.2614526908604823,0.38850904633836364,0,0.0,0.3500728077449404,0.0017814488617720744
692.0,12,238.13512798365437,367.8606541418542,0.5521788775849694,273.68163256477567,S01_1,61.85011609630707,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.31044173979369755,0.4041404422021501,0,0.0,0.3111093351111879,0.0014916589868391185
693.0,12,223.2871362992801,368.9071091791788,0.5187584868293976,274.15487784928297,S01_1,76.73510010314827,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.2146401006968977,0.2769445238895962,0,0.0,0.27903187906655397,0.0014508413238652684
694.0,12,208.78681888138152,369.9604655709157,0.5066798402373534,274.15487784928297,S01_1,91.2736896571032,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.2517336695220436,0.39369048484162605,0,0.0,0.25378956508800005,0.0013593120261716457
695.0,12,194.80641590326263,370.97605346541815,0.48850276553885563,274.15487784928297,S01_1,105.29099250916832,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.2411341392794066,0.3517929870423152,0,0.0,0.9090950390171793,0.005188162858476984
696.0,12,178.97084076753845,371.7839801419509,0.5526804185060468,272.3831859282185,S01_1,121.14879817069044,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.3842728975428481,0.4868492054524197,0,0.0,0.9477218468016679,0.00471628317943601
678.0,13,475.3635803053767,444.01496815546255,0.46923360924085833,227.23230273313547,315255814_1,3.713371470756835,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.38847930591948554,0.3833952297517454,0,0.0,0.45849698071356687,0.0027346311047549508
679.0,13,464.7179513098959,433.6153515947513,0.518632607532096,225.6697394996591,315255814_1,18.594745479574986,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.358586475656937,0.3348441828982011,0,0.0,0.7920437604444472,0.004221985488237038
682.0,13,428.75269755455975,403.6434109600355,0.5510602314917683,231.0652258738566,315255814_1,65.43726885821053,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.2684057270176708,0.31822299470716264,0,0.0,0.6084838520157171,0.0030074174644481614
683.0,13,416.8964833733624,394.60048125930746,0.5200513611409395,235.8458149039428,315255814_1,80.35933023844656,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.21883150592700304,0.3175544482190486,0,0.0,0.6300843810056432,0.003336615773807456
685.0,13,393.8808981924985,382.6892262944232,0.44432426310859297,243.82823015017493,ET03_1,7.079607832035467,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_1,51.78,13.89,"400.17,385.78 389.06,380.32 380.89,376.74 370.67,373.04 365.61,371.67 360.49,370.66 353.46,369.46 351.98,369.27",0.21760022970436124,0.3798735376798159,0,0.0,0.18395412943388256,0.0011888999014212972
686.0,13,387.3733357240411,376.090157112844,0.2970548668118586,245.44004101104943,ET03_2,15.606519883243331,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_2,51.78,13.89,"401.58,382.91 390.40,377.42 382.07,373.76 371.63,369.98 366.33,368.55 361.07,367.52 353.94,366.30 352.40,366.10",0.016761900566814203,0.18467175118563353,0,0.0,0.07961709243923455,0.0010738417347892185
687.0,13,382.76388506756007,374.06487627218127,0.17356237910534178,246.28047794549485,ET03_2,20.59188343489993,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_2,51.78,13.89,"401.58,382.91 390.40,377.42 382.07,373.76 371.63,369.98 366.33,368.55 361.07,367.52 353.94,366.30 352.40,366.10",0.05808796972416563,0.39740865742466863,0,0.0,0.10726390997221368,0.002683270919985016
688.0,13,375.7423468105338,371.4689531555381,0.2582512494591886,250.09625046269244,ET03_2,28.00597562665932,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_2,51.78,13.89,"401.58,382.91 390.40,377.42 382.07,373.76 371.63,369.98 366.33,368.55 361.07,367.52 353.94,366.30 352.40,366.10",0.41992294788501705,0.678969754776481,0,0.0,0.12398458271892289,0.0018006760925344447
691.0,13,346.0937218321011,365.4311523155259,0.40281865198678,263.9458081058852,:millieu_7_1,6.305337011065532,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,:millieu_7,:millieu_7_1,52.4,13.89,"352.40,366.10 337.22,364.49 322.42,363.55 309.46,363.20 299.82,363.40",0.382851001669681,0.4063802781384266,0,0.0,0.19044410658480382,0.0014145450059368943
692.0,13,334.4164222657569,364.31193492769,0.4064976351883255,265.2977190321015,:millieu_7_1,17.970876191168458,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,:millieu_7,:millieu_7_1,52.4,13.89,"352.40,366.10 337.22,364.49 322.42,363.55 309.46,363.20 299.82,363.40",0.27912162435792814,0.2699801537625377,0,0.0,0.20303334280996332,0.0014833822788242628
694.0,13,308.9591047801998,363.2103920170083,0.430428162899126,268.72549117596765,:millieu_7_1,43.311268711509534,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,:millieu_7,:millieu_7_1,52.4,13.89,"352.40,366.10 337.22,364.49 322.42,363.55 309.46,363.20 299.82,363.40",0.2341367986246223,0.2567637166701755,0,0.0,0.4068297739137808,0.0026956706402586333
695.0,13,295.7869155962255,363.6427740799864,0.45753262707078823,273.0098199742564,S01_1,4.040402174007092,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.3198368856772049,0.4363904043325333,0,0.0,0.1871243094021841,0.0011577239346552744
696.0,13,282.7914771615678,364.51961839353714,0.45393251001277635,274.5267309845041,S01_1,17.066290577620485,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.26646999643126296,0.31422265999821436,0,0.0,0.1844199742908968,0.001154687059704809
697.0,13,270.68585448411466,365.5545671795013,0.42338485271969406,274.88651904234746,S01_1,29.2161256126417,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.21963312917623173,0.31995916249734524,0,0.0,0.18784887949563317,0.0013013159535195966
698.0,13,257.94983536286867,366.5856729705952,0.44529642083766996,274.2272458736701,S01_1,41.99434608739472,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.310811238771624,0.44120274494193146,0,0.0,0.18447717262368357,0.0011883644803580068
699.0,13,244.9516566318389,367.4220432901542,0.4539055507113325,273.68163256477567,S01_1,55.01946134540751,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.2876905929248351,0.34079342056993556,0,0.0,0.17675383453500826,0.001107485596998237
700.0,13,232.95022906772084,368.20514657806905,0.4191030778764365,273.805927856242,S01_1,67.04650256881168,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.21223793729644677,0.2948207262490671,0,0.0,0.17961961727847514,0.0012653715524409462
701.0,13,220.34237000637592,369.1210278340196,0.44051634432551195,274.15487784928234,S01_1,79.68763881185332,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.3099451527053018,0.4469384425962659,0,0.0,0.18116205663188933,0.001186293908314949
702.0,13,207.82467148387732,370.0303594968034,0.4373641817309075,274.15487784928297,S01_1,92.2383765463331,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.2672485752386751,0.32359632983787917,0,0.0,0.17175384001168703,0.0011386557843005452
703.0,13,195.88168353281705,370.8979420698,0.41727134301022256,274.15487784928297,S01_1,104.21288681836124,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.23780439621505162,0.3352383146418481,0,0.0,0.18065465077217735,0.0012803451373074762
704.0,13,183.34212956290835,371.6041973430138,0.43770907300476086,272.5796025645729,S01_1,116.7735154311941,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.3082495964124073,0.4229892708155597,0,0.0,0.31583857730205833,0.0020592591461199034
677.0,14,504.98744336542313,478.4882632503385,0.18227168260999882,217.8561064368577,315255906#1_0,15.749375838995912,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255906#1,315255906#1_0,29.29,13.89,"514.65,490.92 496.68,467.80",0.3614234249869531,0.3256693054718082,0,0.0,0.040898456572915395,0.0015094736209330072
682.0,14,470.8607974226479,439.6162411796876,0.4483844527310593,225.6697394996591,315255814_1,10.007747893872562,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.2864153661623413,0.30062672353811926,0,0.0,0.6084838520157171,0.003824807048014465
683.0,14,461.2999555014741,430.47441728489184,0.46103677382288355,227.29382005243227,315255814_1,23.2373741547789,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.29471796569132214,0.3683981554207236,0,0.0,0.6300843810056432,0.003835652071914228
685.0,14,440.4721334576451,412.9129603830456,0.47150998656123605,232.1300282260338,315255814_1,50.49530122538144,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.26072922960544626,0.32403315796293036,0,0.0,0.3603293247035251,0.002135578251839226
686.0,14,430.4130771991295,404.9848330896143,0.4463191523424425,231.1727042659258,315255814_1,63.30285185044107,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.2289436936674808,0.33318147627144523,0,0.0,0.3256452918226274,0.002070218009516349
687.0,14,420.32575703146495,396.9233012371248,0.4500593818121295,231.8501858896159,315255814_1,76.21766571322759,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.27922807501375,0.4052783675621309,0,0.0,0.2856754875836743,0.0017995991810411428
